Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Previous Purchases,Payment Method,Frequency of Purchases,Discount_Flag,Has_Subscription,Purchase_Freq_Score,Discount_Reliance,Customer_Value_Index,Value_Band,Positive_Experience_Flag,Purchase_History_Band,EBL_raw,Loyalty_Score_1,SSL_raw,Loyalty_Score_2,Loyal_1,Loyal_2,Segment
1,55,Male,Blouse,Clothing,53,Kentucky,L,Gray,Winter,3.1,Yes,Express,Yes,14,Venmo,Fortnightly,1,1,6,1,318,High,0,Emerging,0.3682857142857143,36.83,0.66,66.8,0,1,Deal Seeker
2,19,Male,Sweater,Clothing,64,Maine,L,Maroon,Winter,3.1,Yes,Express,Yes,2,Cash,Fortnightly,1,1,6,1,384,High,0,Emerging,0.23628571428571427,23.63,0.704,71.26,0,1,Deal Seeker
3,50,Male,Jeans,Clothing,73,Massachusetts,S,Maroon,Spring,3.1,Yes,Free Shipping,Yes,23,Credit Card,Weekly,1,1,7,1,511,High,0,Established,0.5030000000000001,50.3,0.74,74.9,0,1,Deal Seeker
4,21,Male,Sandals,Footwear,90,Rhode Island,M,Maroon,Spring,3.5,Yes,Next Day Air,Yes,49,PayPal,Weekly,1,1,7,1,630,High,0,Veteran,0.789,78.9,0.8400000000000001,85.02,1,1,Promo-Dependent
5,45,Male,Blouse,Clothing,49,Oregon,M,Turquoise,Spring,2.7,Yes,Free Shipping,Yes,31,PayPal,Annually,1,1,1,1,49,Low,0,Established,0.3767142857142857,37.67,0.6120000000000001,61.94,0,1,Deal Seeker
6,46,Male,Sneakers,Footwear,20,Wyoming,M,White,Summer,2.9,Yes,Standard,Yes,14,Venmo,Weekly,1,1,7,1,140,Low,0,Emerging,0.404,40.4,0.512,51.82,0,0,Deal Seeker
7,63,Male,Shirt,Clothing,85,Montana,M,Gray,Fall,3.2,Yes,Free Shipping,Yes,49,Cash,Quarterly,1,1,3,1,255,Mid,0,Veteran,0.6461428571428571,64.61,0.796,80.57,1,1,Promo-Dependent
8,27,Male,Shorts,Clothing,34,Louisiana,L,Charcoal,Winter,3.2,Yes,Free Shipping,Yes,19,Credit Card,Weekly,1,1,7,1,238,Mid,0,Established,0.459,45.9,0.5920000000000001,59.92,0,1,Deal Seeker
9,26,Male,Coat,Outerwear,97,West Virginia,L,Silver,Summer,2.6,Yes,Express,Yes,8,Venmo,Annually,1,1,1,1,97,Low,0,Emerging,0.12371428571428572,12.37,0.796,80.57,0,1,Deal Seeker
10,57,Male,Handbag,Accessories,31,Missouri,M,Pink,Spring,4.8,Yes,2-Day Shipping,Yes,4,Cash,Quarterly,1,1,3,1,93,Low,1,Emerging,0.15114285714285713,15.11,0.708,71.66,0,1,Deal Seeker
